X,Y,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
-150.05,67.3,"1","0","0","0","0",0.00000000000000,315.00000000000000
-150.05,72.0,"1","1","0","0","1",4.70000000000000,45.00000000000000
-127.5,72.0,"1","2","0","0","2",27.25000000000002,135.00000000000000
-127.5,67.3,"1","3","0","0","3",31.95000000000002,225.00000000000000
-150.05,67.3,"1","4","0","0","4",54.50000000000004,315.00000000000000
-46,84.5,"2","0","0","0","0",0.00000000000000,135.00000000000000
-46,79,"2","1","0","0","1",5.50000000000000,225.00000000000000
-84,79,"2","2","0","0","2",43.50000000000000,225.00000000000000
-84,72,"2","3","0","0","3",50.50000000000000,225.00000000000000
-127.5,72.0,"2","4","0","0","4",94.00000000000000,315.00000000000000
-127.5,84.5,"2","5","0","0","5",106.50000000000000,45.00000000000000
-46,84.5,"2","6","0","0","6",188.00000000000000,135.00000000000000
-127.5,72.0,"3","0","0","0","0",0.00000000000000,45.00000000000000
-84,72,"3","1","0","0","1",43.50000000000000,135.00000000000000
-84,67.3,"3","2","0","0","2",48.20000000000000,225.00000000000000
-127.5,67.3,"3","3","0","0","3",91.70000000000000,315.00000000000000
-127.5,72.0,"3","4","0","0","4",96.40000000000001,45.00000000000000
-73,71,"6","0","0","0","0",0.00000000000000,135.00000000000000
-73,64.5,"6","1","0","0","1",6.50000000000000,225.00000000000000
-84,64.5,"6","2","0","0","2",17.50000000000000,315.00000000000000
-84,71,"6","3","0","0","3",24.00000000000000,45.00000000000000
-73,71,"6","4","0","0","4",35.00000000000000,135.00000000000000
-95,67.3,"4","0","0","0","0",0.00000000000000,45.00000000000000
-84,67.3,"4","1","0","0","1",11.00000000000000,135.00000000000000
-84,53,"4","2","0","0","2",25.30000000000000,225.00000000000000
-95,53,"4","3","0","0","3",36.30000000000000,315.00000000000000
-95,67.3,"4","4","0","0","4",50.60000000000000,45.00000000000000
-84,50,"5","0","0","0","0",0.00000000000000,315.00000000000000
-84,64.5,"5","1","0","0","1",14.50000000000000,45.00000000000000
-75,64.5,"5","2","0","0","2",23.50000000000000,135.00000000000000
-75,50,"5","3","0","0","3",38.00000000000000,225.00000000000000
-84,50,"5","4","0","0","4",47.00000000000000,315.00000000000000
-69.5,64.5,"7","0","0","0","0",0.00000000000000,135.00000000000000
-69.5,57.5,"7","1","0","0","1",7.00000000000000,225.00000000000000
-75,57.5,"7","2","0","0","2",12.50000000000000,315.00000000000000
-75,64.5,"7","3","0","0","3",19.50000000000000,45.00000000000000
-69.5,64.5,"7","4","0","0","4",25.00000000000000,135.00000000000000
-69.5,64.5,"8","0","0","0","0",0.00000000000000,45.00000000000000
-63,64.5,"8","1","0","0","1",6.50000000000000,135.00000000000000
-63,55,"8","2","0","0","2",16.00000000000000,225.00000000000000
-69.5,55.0,"8","3","0","0","3",22.50000000000000,315.00000000000000
-69.5,64.5,"8","4","0","0","4",32.00000000000000,45.00000000000000
-46,79,"10","0","0","0","0",0.00000000000000,135.00000000000000
-46,71,"10","1","0","0","1",8.00000000000000,225.00000000000000
-84,71,"10","2","0","0","2",46.00000000000000,315.00000000000000
-84,79,"10","3","0","0","3",54.00000000000000,45.00000000000000
-46,79,"10","4","0","0","4",92.00000000000000,135.00000000000000
-73,71,"9","0","0","0","0",0.00000000000000,45.00000000000000
-58,71,"9","1","0","0","1",15.00000000000000,135.00000000000000
-58,64.5,"9","2","0","0","2",21.50000000000000,225.00000000000000
-73,64.5,"9","3","0","0","3",36.50000000000000,315.00000000000000
-73,71,"9","4","0","0","4",43.00000000000000,45.00000000000000
-58,71,"11","0","0","0","0",0.00000000000000,45.00000000000000
-46,71,"11","1","0","0","1",12.00000000000000,135.00000000000000
-46,60,"11","2","0","0","2",23.00000000000000,225.00000000000000
-58,60,"11","3","0","0","3",35.00000000000000,315.00000000000000
-58,71,"11","4","0","0","4",46.00000000000000,45.00000000000000
-63,59,"12","0","0","0","0",0.00000000000000,45.00000000000000
-58,59,"12","1","0","0","1",5.00000000000000,135.00000000000000
-58,56,"12","2","0","0","2",8.00000000000000,135.00000000000000
-51,56,"12","3","0","0","3",15.00000000000000,135.00000000000000
-51,50,"12","4","0","0","4",21.00000000000000,225.00000000000000
-63,50,"12","5","0","0","5",33.00000000000000,315.00000000000000
-63,59,"12","6","0","0","6",42.00000000000000,45.00000000000000
